road_id,max_speed,light_vehicle_count,heavy_vehicle_count,average_speed
10,30,1000,100,44
11,30,1000,100,44
12,30,1000,100,44
13,30,1000,100,44
21,30,1000,100,44
22,30,1000,100,44
23,30,1000,100,44
30,30,500,60,28
31,30,500,60,28
32,30,500,60,28
33,30,500,60,28
41,30,500,60,28
42,30,100,0,20
43,30,100,0,20
51,30,100,0,20
52,30,100,0,20
53,30,100,0,20
60,30,100,0,20
100,30,1000,100,44
101,30,1000,100,44
200,30,500,60,28
201,30,500,60,28
202,30,500,60,28
203,30,500,60,28
300,30,1000,100,44
301,30,500,60,28
302,30,100,0,20
303,30,100,0,20
304,30,100,0,20
400,30,1000,100,44
401,30,500,60,28
402,30,100,0,20
403,30,100,0,20
404,30,100,0,20
500,30,1000,100,44
501,30,100,0,20
502,30,0,0,0
