road_id,max_speed,light_vehicle_count,heavy_vehicle_count,average_speed
10,50,1000,100,44
11,50,1000,100,44
12,50,1000,100,44
13,50,1000,100,44
21,30,500,60,28
22,30,500,60,28
23,30,500,60,28
30,0,0,0,0
31,0,0,0,0
32,0,0,0,0
33,0,0,0,0
41,50,1000,100,44
42,0,0,0,0
43,0,0,0,0
51,50,1000,100,44
52,30,500,60,28
53,30,500,60,28
60,0,0,0,0
100,50,1000,100,44
101,50,1000,100,44
200,50,1000,100,44
201,50,1000,100,44
202,50,1000,100,44
203,50,1000,100,44
300,30,500,60,28
301,30,500,60,28
302,30,500,60,28
303,30,500,60,28
304,30,500,60,28
400,30,500,60,28
401,30,500,60,28
402,30,500,60,28
403,30,500,60,28
404,30,500,60,28
500,0,0,0,0
501,0,0,0,0
502,0,0,0,0
