road_id,max_speed,light_vehicle_count,heavy_vehicle_count,average_speed
10,50,1000,100,44
11,50,1000,100,44
12,50,1000,100,44
13,50,1000,100,44
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
30,0,0,0,0
31,0,0,0,0
32,0,0,0,0
33,0,0,0,0
41,0,0,0,0
42,0,0,0,0
43,0,0,0,0
51,0,0,0,0
52,0,0,0,0
53,0,0,0,0
60,20,100,0,20
100,0,0,0,0
101,0,0,0,0
200,0,0,0,0
201,0,0,0,0
202,0,0,0,0
203,0,0,0,0
300,30,500,60,28
301,30,500,60,28
302,30,500,60,28
303,0,0,0,0
304,0,0,0,0
400,30,500,60,28
401,30,500,60,28
402,30,500,60,28
403,0,0,0,0
404,0,0,0,0
500,0,0,0,0
501,0,0,0,0
502,0,0,0,0
